Lake 	Date	Core	uE	Depth.m	Temp.C	T0.O2.mgL	T0.O2.mmolL	Incub.h	Water.Vol.ml	T1.flux	T2.flux	sum.flux
S3	11-Aug-06	Y2	0	4	8	9.109556265	0.284673633	11.85	136.8612	11.50646911	12.50969141	12.15930735
S3	11-Aug-06	Y5	0	4	8	8.586431894	0.268325997	11.85	136.8612	16.9011849	12.97748963	14.34787414
S3	11-Aug-06	Y9	0	4	8	9.180845244	0.286901414	11.85	136.8612	22.02084031	15.45123083	17.74572376
S3	11-Aug-06	B7	0	4	2	9.181882304	0.286933822	11.85	136.8612	13.62840887	14.08709875	13.92689734
S3	11-Aug-06	B2	0	4	2	9.054637019	0.282957407	11.85	136.8612	26.48679227	8.81832284	14.9891886
S3	11-Aug-06	B5	0	4	2	9.51433597	0.297322999	11.85	136.8612	18.98315377	13.84387179	15.63881047
S3	11-Aug-06	B8	0	4	2	8.85911601	0.276847375	11.85	136.8612	6.486024747	19.60865149	15.0254606
S3	11-Aug-06	B9	0	4	2	9.468795619	0.295899863	11.85	136.8612	14.2272246	13.09972155	13.49351174
S3	11-Aug-06	B1	0	4	2	8.430941468	0.263466921	11.85	136.8612	9.206023597	16.9725354	14.26001398
S3	11-Aug-06	B4	0	4	2	9.421671365	0.29442723	11.85	136.8612	8.404399461	13.13842756	11.4850273
S3	11-Aug-06	B6	0	4	2	9.080383006	0.283761969	11.85	136.8612	15.87650632	11.8012077	13.22454099
S3	11-Aug-06	B3	0	4	2	8.945955767	0.279561118	11.85	145.9044	10.05712321	16.86901866	14.48990526
